holiday_date,holiday_name,market_status
2025-01-01,New Year's Day,closed
2025-04-18,Good Friday,closed
2025-04-21,Easter Monday,closed
2025-05-05,Early May Bank Holiday,closed
2025-05-26,Spring Bank Holiday,closed
2025-08-25,Summer Bank Holiday,closed
2025-12-25,Christmas Day,closed
2025-12-26,Boxing Day,closed
2026-01-01,New Year's Day,closed
2026-04-03,Good Friday,closed
2026-04-06,Easter Monday,closed
2026-05-04,Early May Bank Holiday,closed
2026-05-25,Spring Bank Holiday,closed
2026-08-31,Summer Bank Holiday,closed
2026-12-25,Christmas Day,closed
2026-12-28,Boxing Day (Substitute),closed
